Rank,Release Group,Worldwide,Domestic,%,Foreign,%
169,Nobody Has to Know,"$849,070",-,-,"$849,070",100%
170,The Family,"$847,236",-,-,"$847,236",100%
171,Krime Story,"$845,412",-,-,"$845,412",100%
172,Acharya,"$832,000","$832,000",100%,-,-
173,The Souvenir,"$827,917",-,-,"$827,917",100%
174,My Brothers and I,"$825,312",-,-,"$825,312",100%
175,Anchor,"$825,289",-,-,"$825,289",100%
176,The Revenge of the Shiny Shrimps,"$802,342",-,-,"$802,342",100%
177,Dem Toi Ruc Ro!,"$800,174",-,-,"$800,174",100%
178,Adieu Paris,"$771,286",-,-,"$771,286",100%
179,Placés,"$759,453",-,-,"$759,453",100%
180,"Camera Café, la película","$755,473",-,-,"$755,473",100%
181,Emergency Situation,"$751,928",-,-,"$751,928",100%
182,Il sesso degli angeli,"$748,128",-,-,"$748,128",100%
183,El juego de las llaves,"$739,394",-,-,"$739,394",100%
184,Eingeschlossene Gesellschaft,"$725,355",-,-,"$725,355",100%
185,FIR,"$709,663",-,-,"$709,663",100%
186,Rassegna Cinematografica,"$706,565",-,-,"$706,565",100%
187,Boiling Point,"$705,045",-,-,"$705,045",100%
188,The Companions,"$704,580",-,-,"$704,580",100%
189,Zlatni decko,"$696,097",-,-,"$696,097",100%
190,America Latina,"$693,818",-,-,"$693,818",100%
191,Meppadiyan,"$691,981",-,-,"$691,981",100%
192,Liubov i blohery,"$677,744",-,-,"$677,744",100%
193,Lynx,"$668,972",-,-,"$668,972",100%
194,Poslední závod,"$658,506",-,-,"$658,506",100%
195,The Deer King,"$654,789",-,-,"$654,789",100%
196,Ik wist het,"$644,643",-,-,"$644,643",100%
197,Stellar,"$643,740",-,-,"$643,740",100%
198,Kaptan Pengu ve Arkadaslari 2,"$643,626",-,-,"$643,626",100%
199,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
200,How I Learned to Fly,"$630,934",-,-,"$630,934",100%
