,user,Tweet,Time
47,PamelaWarnstadt,"RT @PamelaWarnstadt: SMART PASSIVE EARNINGS

https://t.co/Kuctf3zAir

#passive #income #money #earn #internet #euro #dollar #stock #exchang…",2022-06-23 08:58:49+00:00
48,GlobalObserve10,"2️⃣ #Putin May #Win in #Ukraine, But the Real War Is Just Starting, Bloomberg, 19 June 2022",2022-06-23 08:56:37+00:00
49,jd_19573011,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 08:55:49+00:00
50,tameryazar,"In the darkness of war they are also there...
-
A #Ukrainian service member with a dog observes in the industrial area of the city of #Sievierodonetsk, as #Russia's attack on #Ukraine continues. #Kyiv #Russia #Moscow #Zelensky #Putin @peta @MercyForAnimals https://t.co/X9MMAM5mpM",2022-06-23 08:53:04+00:00
51,KIAAcademYsir,"💡DAY-116 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARINUKRAINE #putin #Zelenskyy #UkraineUnderAttack #mariupol #Russia #India #Ukraine #Bucha #BuchaMasacre #BuchaGenocide #indianstudentsinukraine https://t.co/vHQrngIdXk",2022-06-23 08:52:37+00:00
52,onesimohere,"Of course, we should not expect justice or compassion from #Putin ""Aiden Aslin: #Ukraine Briton told execution will go ahead @BBCNews - https://t.co/8cPR5IH94j",2022-06-23 08:52:33+00:00
53,tameryazar,"Local residents wait to receive humanitarian aid in front of a residential building that was damaged during the Russian attack, in #Borodyanka, #Kyiv region, #Ukraine ! #Russia #Moscow #Zelensky #Putin https://t.co/X8OU9olxUz",2022-06-23 08:50:37+00:00
54,caliophe20,"RT @anews: Parents in #Mariupol, #Ukraine are struggling to find the words to explain to their children why Ukraine is being attacked. 

#c…",2022-06-23 08:50:23+00:00
55,TonyKen69354734,"To every fool that thinks our Political Class suddenly reacted to #Putin's ""unprecedented aggression"", think again.

Adam #Schiff justified impeachment because #Trump was an obstacle to our proxy war w/ #Russia. The ""bad phone call"" served as a cover.

#Ukraine #Russians #war https://t.co/VHqBN8JC8g",2022-06-23 08:48:39+00:00
56,TheAccountantUK,RT @UxbEconomist07: Quick reminder of US #Inflation path approaching #Ukraine War. Some r asking why Joe #Biden is a able to blame #Putin &amp;…,2022-06-23 08:44:35+00:00
57,Lx121,"@b_chshevik @EyyRadioFree @gobloid3 3 things: 1.on the same index RUSSIA IS WORSE. 2. #ukraine is improving, LONGTERM trend. 3. in #PUTIN's #russia such #independent #international #ngo organisations &amp; #reporting ARE NOT ALLOWED TO EXIST. #especially during the #UkraineWar :P",2022-06-23 08:42:05+00:00
58,INSTINC26289171,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…",2022-06-23 08:40:00+00:00
59,RiteBoss,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…",2022-06-23 08:39:59+00:00
60,valik_lok79,"RT @SharleenLittle4: Putin deliberately provokes hunger in the world!
Moscow, by blocking Ukrainian ports, is striving for global destabili…",2022-06-23 08:39:58+00:00
61,SmartB0ss,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…",2022-06-23 08:39:54+00:00
62,CLEANBOSS2,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…",2022-06-23 08:39:49+00:00
63,AshRite2,"RT @HerryNapit: Dictator Putin’s Afghanistan: The Russian army seems trapped in Ukraine, sacrificing minorities👎

Read the thread,👇Hey worl…",2022-06-23 08:39:42+00:00
64,INSTINC26289171,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…,2022-06-23 08:39:32+00:00
65,PhilipCMead,"RT @PhilipCMead: #Putin’s #Ukraine invasion is the world’s first full-scale cyberwar
https://t.co/r2z0fUy4h0
The war shows how #Russia's mi…",2022-06-23 08:39:12+00:00
66,RiteBoss,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…,2022-06-23 08:37:43+00:00
67,SmartB0ss,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…,2022-06-23 08:37:38+00:00
68,CLEANBOSS2,RT @HerryNapit: Mariupol: Russia could use the mobile crematorium in its war against Ukraine to hide the actual number of victims.😱 #Russia…,2022-06-23 08:37:34+00:00
