,user,Tweet,Time
77,YShuisang,"《Be defeated》My work can be forwarded.
#乌克兰 #乌克兰战争 #乌克兰局势 #乌克兰最新消息 #乌克兰动态清零 #俄罗斯 #普京
#ArmUkraineNow #UkraineUnderAttack  #Ukraine #StandWithUkraine #CCCP #Russia #Putin #Poland #Держись #Россия #Украина https://t.co/qsYbYw6VCm",2022-06-23 10:00:04+00:00
78,JacobFrye1800s,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:59:34+00:00
79,_aquariusmac,RT @AsianaTimes: #Putin is back on the world stage with the #BRICS2022  Summit. This will be his first time attending a forum with the head…,2022-06-23 09:56:30+00:00
80,hahahahabhe,RT @raging545: VIDEO of Ukrainian partisans destroying Russian military vehicles supposedly in the Russian occupied South of Ukraine.  #Ukr…,2022-06-23 09:53:20+00:00
81,TeresaSardinha9,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 09:52:27+00:00
82,WriterJackWhite,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:51:30+00:00
83,annie5133,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:43:47+00:00
84,AWhitta46916467,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 09:43:26+00:00
85,gplaucio,RT @WarAgainstPutin: Evil #Russia keeps destroying civilian infrastructure of #Ukraine. #Putin is new #Hitler. #ArmUkraineNow https://t.co/…,2022-06-23 09:43:17+00:00
86,gplaucio,RT @raging545: VIDEO of a Ukrainian soldier with a Stinger MANPADs shooting down a Russian Orlan-10 military drone in Eastern #Ukraine.   #…,2022-06-23 09:43:02+00:00
87,gplaucio,RT @Ewe_Paz_HeT: Russia will be as obliterated as it provokes. It must understand it now. Russia is nothing without West. As it was nothing…,2022-06-23 09:42:23+00:00
88,gplaucio,RT @raging545: IMAGE of Russian soldiers captured by Belarusian volunteers of the Ukraine Foreign Legion near Mykolaiv #Ukraine  #Russia #P…,2022-06-23 09:41:40+00:00
89,gplaucio,"RT @Ewe_Paz_HeT: Today, months pass &amp; we realize that Russia is nothing. Neither a military partner of course, nor a civil partner since it…",2022-06-23 09:41:28+00:00
90,indian_ukraine,"RT @KIAAcademYsir: 💡DAY-117 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARIN…",2022-06-23 09:40:33+00:00
91,pietakmp,RT @carolmswain: #Putin invaded #Ukraine that’s President Biden’s excuse for having wrecked the nation’s economy and it standing in the wor…,2022-06-23 09:33:56+00:00
92,gplaucio,RT @raging545: VIDEO from Severodonestk of Russian soldiers captured  after surrendering. There are some claims by captured Russian soldier…,2022-06-23 09:32:32+00:00
93,AjBaalman,"RT @Ewe_Paz_HeT: Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride…",2022-06-23 09:31:20+00:00
94,gplaucio,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:30:57+00:00
95,gplaucio,"RT @Ewe_Paz_HeT: Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride…",2022-06-23 09:30:47+00:00
