,user,Tweet,Time
74,KimmoSasi,2022-06-23 08:26:31+00:00,"When #EU gives candidate status to #Ukraine, the Council could state that also Russia is wellcome to EU when she fullfils the criteria. If #Putin wants to be Peter the Great he should westernize Russia: democracy, human rights, functionin market economy without corruption, peace."
75,LatrBerserkr,2022-06-23 08:26:27+00:00,"RT @nexta_tv: Aleksey Zhuravlyov is a member of State Duma and leader of the right-wing extremist party ""Rodina"" which openly supports Vlad…"
76,leifdahlberg,2022-06-23 08:24:30+00:00,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…
77,spicciar,2022-06-23 08:23:36+00:00,"Paralysis in Moscow.
Why #Putin persists with his established strategy, accepting a test of endurance | #Ukraine https://t.co/nToQq4Jtku"
78,humanwords_,2022-06-23 08:21:51+00:00,RT @23idiocracy: Warmongers argue we must protect Ukraine because it’s a “democracy” https://t.co/UjM7BmDhhO #Putin #Russia #Ukraine @Tulsi…
79,dtalavera2121,2022-06-23 08:20:54+00:00,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…
80,Lovepetdog,2022-06-23 08:20:06+00:00,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…
81,e_winzar,2022-06-23 08:19:50+00:00,"RT @Eire353: SO MUCH IN COMMON, GET OVER YOURSELVES AND END THE WAR!
#Putin #Zelensky 
Will the war with #Russia rein in #Ukraine’s 
#oliga…"
82,instantPopMusic,2022-06-23 08:18:40+00:00,"RT @nexta_tv: Aleksey Zhuravlyov is a member of State Duma and leader of the right-wing extremist party ""Rodina"" which openly supports Vlad…"
83,LynnBee93668857,2022-06-23 08:17:34+00:00,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…
84,MohammadiRashid,2022-06-23 08:17:30+00:00,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…
85,SeanFionn,2022-06-23 08:17:25+00:00,"RT @ignis_fatum: 🛑🛑🛑Reports of explosions in Mykolayiv and Kherson 
#Ukraine #russia #putin"
86,SeanFionn,2022-06-23 08:17:24+00:00,"RT @ignis_fatum: 🚨🚨🚨#BREAKING 
Air raid alert sirens in most of the regions of #Ukraine 
Everyone there’s being asked to take cover and sta…"
87,GarethPike4,2022-06-23 08:17:14+00:00,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…
88,ignis_fatum,2022-06-23 08:17:04+00:00,"🛑🛑🛑Reports of explosions in Mykolayiv and Kherson 
#Ukraine #russia #putin"
89,kiraincongress,2022-06-23 08:15:00+00:00,"We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukraine, to make #putin pay for his actions.

https://t.co/3MDOMnKrFj
@tvn24"
90,PamelaWarnstadt,2022-06-23 08:15:00+00:00,"SMART PASSIVE EARNINGS

https://t.co/Kuctf3zAir

#passive #income #money #earn #internet #euro #dollar #stock #exchange #currency #stockbroker #market #bitcoin #btc #distribution #usa #germany #london #pm #man #woman #putin #europe #russia #china #president #moscow  #ukraine #hot https://t.co/DGxPXcqkl8"
91,LinguaMaxillam,2022-06-23 08:14:20+00:00,"And it continues.... Putin's double agents, Merkel, Shroeder and Scholz and VonDerLYING still blocking assistance, aid and support to those being MURDERED daily in #UKRAINE  #GERMANNAZIS live on and work side by side with #PUTIN! https://t.co/ea8YLEZyCV"
92,aftermath_user,2022-06-23 08:08:29+00:00,"Would incorporating individual territories mean giving up the idea of taking control of the rest of the country?

Check it out: https://t.co/mdtmGwqhSf

#Donbass #Pushilin #Putin #Russia #Ukraine #Warinukraine #separatism #zelenski https://t.co/Ec3Cm4VU6g"
93,gatomalofor,2022-06-23 08:04:30+00:00,"@GlasnostGone ❗️❗️A great way of Helping 🇺🇦 and pissing-off #Putin 

United24 portal by the gov of Ukraine 
One click donations, safe &amp;easy 

@U24_gov_ua
 
@ZelenskyyUa 

https://t.co/StC3RwORkh

For those that don't know. This is the best way to ensure 💯  of your help will reach #Ukraine"
94,jonic1986,2022-06-23 08:02:09+00:00,"RT @officejjsmart: Things are getting tight. Losing #Lugansk (#Luhansk), #Ukraine would represent the completion of one of #Putin’s  🇷🇺 ori…"
95,RussianSitrep,2022-06-23 08:02:04+00:00,"UKRAINE: WHEN THE ONLY FACTORIES PRODUCING ANYTHING CREATE LIES

https://t.co/bJD595EWET

#Ukraine #Russia #Donbass #Donbas #Severodonetsk #Lysychansk #Slavyansk #Kramatorsk #Bucha #Donetsk #Lugansk #Luhansk #Kiev #Kyiv #Russian #Ukrainian #War #Putin #Moscow #Lviv #Lvov #Nazis https://t.co/zPSmMtsZdW"
96,fitz52006,2022-06-23 08:00:32+00:00,RT @UxbEconomist07: Quick reminder of US #Inflation path approaching #Ukraine War. Some r asking why Joe #Biden is a able to blame #Putin &amp;…
97,GainMoneyFaster,2022-06-23 08:00:01+00:00,"SMART PASSIVE EARNINGS

https://t.co/CLU7gXSmt1

#passive #income #money #earn #internet #euro #dollar #stock #exchange #currency #stockbroker #market #bitcoin #btc #distribution #usa #germany #london #pm #man #woman #putin #europe #russia #china #president #moscow  #ukraine #hot https://t.co/Z9nF46tLCy"
98,RussianSitrep,2022-06-23 07:59:47+00:00,"THE BUBBLE OF WESTERN PROPAGANDA ON UKRAINE WILL BE SEEN TO BURST

https://t.co/2j5nZQD3CP

#Ukraine #Russia #Donbass #Donbas #Severodonetsk #Lysychansk #Slavyansk #Kramatorsk #Bucha #Donetsk #Lugansk #Luhansk #Kiev #Kyiv #Russian #Ukrainian #War #Putin #Moscow #Lviv #Lvov #Nazis https://t.co/mfOugNg5E5"
99,LibyanAnon,2022-06-23 07:57:24+00:00,"Starve for democracy! Do it for the #ghostofkyiv! The #Ukraine is the only democracy in #Russia!
#Putin bad, #Zelensky good! https://t.co/Snip24gyWm"
100,def_izit,2022-06-14 06:14:19+00:00,RT @ignis_fatum: 🛑🛑🛑Sumy regional administration says that the #Putin regime terrorists had shelled the town of Velyka Pisarivka near the b…
101,miki_alula,2022-06-14 06:13:45+00:00,"RT @DavidKevinDw3: Would you partner with #Putin if this were in #Ukraine
??
I don't think you didn't hear about #500K+ killing of civilian…"
102,rrolls1poet,2022-06-14 06:12:29+00:00,RT @rrolls1poet: That is #Awsome #Ukraine was a #beautiful #Country #Putin and #Russia need to go #Home #Bullies go #Home #Too they then ar…
103,Karolis80875164,2022-06-14 06:12:21+00:00,RT @WarAgainstPutin: Let it be. #Putin must die. Glory to #Ukraine: https://t.co/dH831jnUbb
104,gr1mrea9er,2022-06-14 06:11:55+00:00,RT @WarAgainstPutin: #Putin's orcs destroyed one of the largest grain terminals in #Ukraine. Still questions who is behind the world's food…
105,rrolls1poet,2022-06-14 06:11:25+00:00,That is #Awsome #Ukraine was a #beautiful #Country #Putin and #Russia need to go #Home #Bullies go #Home #Too they then are #Alone.A #Bully I new became a friend and I earned his respect by standing up to him with my family too. Strength in numbers https://t.co/WfIAVBuzdc
106,HultinKatarina,2022-06-14 06:10:46+00:00,"RT @Matt_VanDyke: A riddle I heard here in Ukraine:

A Russian rifleman, tanker, and pilot are returning from the frontline.

Who is drivin…"
107,HultinKatarina,2022-06-14 06:10:38+00:00,"RT @Matt_VanDyke: I recently appeared on the ""Judging Freedom"" podcast with Judge Napolitano (@JudgeNap), LIVE FROM UKRAINE, to discuss the…"
108,extratoothbrush,2022-06-14 06:08:59+00:00,RT @WarAgainstPutin: #Putin's orcs destroyed one of the largest grain terminals in #Ukraine. Still questions who is behind the world's food…
109,ignis_fatum,2022-06-14 06:08:57+00:00,"🛑🛑🛑Sumy regional administration says that the #Putin regime terrorists had shelled the town of Velyka Pisarivka near the border with Putin regimes #Russia , causing damage to homes 
#Ukraine https://t.co/rknP2UaR37"
110,Jeremiah23044,2022-06-14 06:08:27+00:00,RT @WarAgainstPutin: #Putin's orcs destroyed one of the largest grain terminals in #Ukraine. Still questions who is behind the world's food…
111,JamesL247893,2022-06-14 06:07:28+00:00,"RT @raging545: A Russian Ka-52 ""Alligator"" attack helicopter was shot down near Izyum in NE Ukraine today by the Ukrainian 93rd separate me…"
112,HanumeZiba,2022-06-14 06:01:19+00:00,"RT @ignis_fatum: 🚨Air raid alert sirens in all the towns and cities of the Dnipro and Zaporizhya regions
Everyone there’s being asked to ta…"
113,EppeyGunn,2022-06-14 05:59:04+00:00,"RT @InnaSovsun: Gazprom, Lukoil and other companies of #Putin, who is now destroying #Ukraine have been lobbying hard to get fossil gas in…"
114,LoevePhilippe,2022-06-14 05:58:57+00:00,"RT @InnaSovsun: Gazprom, Lukoil and other companies of #Putin, who is now destroying #Ukraine have been lobbying hard to get fossil gas in…"
115,BrenierLaura,2022-06-14 05:57:11+00:00,"RT @hugomanguelin: NEW #UKRAINE :
7 civilians were tortured then cowardly executed with a bullet in the head with their hands bound and the…"
116,roelofsronald,2022-06-14 05:55:37+00:00,"RT @InnaSovsun: Gazprom, Lukoil and other companies of #Putin, who is now destroying #Ukraine have been lobbying hard to get fossil gas in…"
117,ignis_fatum,2022-06-14 05:51:16+00:00,"🛑🛑🛑 #Ukraine army says that 2 missiles of #Putin regime were destroyed over Odesa this morning 
#Russia"
118,Eve44231,2022-06-14 05:49:41+00:00,"RT @raging545: A Russian Ka-52 ""Alligator"" attack helicopter was shot down near Izyum in NE Ukraine today by the Ukrainian 93rd separate me…"
119,LechuanPeng,2022-06-14 05:46:53+00:00,"RT @bellzits: WAKE UP #EUROPE &amp; tweet to your Politicians &amp; Leaders to SEND WEAPONS &amp; AMMO &amp; do MORE to HELP Ukraine NOW!

#Putin isn’t goi…"
120,PGianni4,2022-06-14 05:43:45+00:00,"RT @ignis_fatum: 🚨Air raid alert sirens in all the towns and cities of the Dnipro and Zaporizhya regions
Everyone there’s being asked to ta…"
121,eroader,2022-06-14 05:42:47+00:00,"RT @jdpoc: Your #5OClockInspiration.

Never forget who funded him, and his Party. Do not accept his recent Conversion on the Road to Damasc…"
122,bellzits,2022-06-14 05:41:58+00:00,"WAKE UP #EUROPE &amp; tweet to your Politicians &amp; Leaders to SEND WEAPONS &amp; AMMO &amp; do MORE to HELP Ukraine NOW!

#Putin isn’t going to stop until he fulfils his “PUTIN the PUTRID” legacy of “restoration” of the Old Soviet Union

All the BALTIC STATES are at risk

Slava #Ukraine 🇺🇦🕊 https://t.co/l44LcjnhgS"
123,scheerenberger,2022-06-14 05:39:36+00:00,"RT @ignis_fatum: 🚨Air raid alert sirens in all the towns and cities of the Dnipro and Zaporizhya regions
Everyone there’s being asked to ta…"
124,mhall55nine,2022-06-14 05:39:01+00:00,"RT @HerryNapit: Russia's invasion of Ukraine continues to destroy many lives, creates global food crisis. Putin pushes millions of people i…"
125,ignis_fatum,2022-06-14 05:38:48+00:00,"🚨Air raid alert sirens in all the towns and cities of the Dnipro and Zaporizhya regions
Everyone there’s being asked to take cover and stay sheltered till the all clear sounds 
#Ukraine #russia #Putin"
126,mhall55nine,2022-06-14 05:38:35+00:00,RT @HerryNapit: Russia - Ukraine war: Ukrainian army and Ukrainians fight to protect their homeland. Defend themselves from the Russians. T…
